,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
319,16,194,10,0,4304
320,14,30,12,27216,22609
321,4,193,11,40,0
322,15,37,10,2244,2217
328,82,214,12,0,4275
329,81,29,12,0,40
330,81,174,10,0,48
331,11,10,10,324,411
334,45,40,11,2112,1271
335,50,47,10,130416,111595
336,23,98,10,144,80
338,26,93,11,12,0
339,81,181,10,96,114
340,82,88,11,0,4788
341,37,93,11,180,131
342,51,118,12,0,66
345,23,150,10,72,64
346,59,217,11,1218,1229
347,22,32,11,2800,8620
348,54,164,11,12,0
349,18,95,10,2292,2761
352,70,13,10,0,24
353,37,120,12,0,3
354,25,148,10,468,533
355,47,212,12,1872,2241
360,50,159,10,51840,54246
361,47,130,10,2352,1307
363,37,152,12,180,144
364,36,66,11,24,2
366,67,33,10,0,119
367,16,134,11,2052,513
369,16,103,12,2844,1410
371,82,40,11,0,811
372,61,158,10,2520,1555
373,7,199,12,0,3504
375,61,119,12,3906,0
376,62,164,11,2436,1701
377,36,33,12,48,6
378,38,188,10,0,196
379,36,37,12,72,51
381,14,27,12,28476,33287
382,58,213,10,3024,3912
383,80,188,10,0,300
384,25,187,11,0,45
385,83,83,11,0,1783
386,38,204,11,216,150
387,25,189,11,0,15
388,27,156,11,684,534
389,22,86,12,6800,8000
390,19,133,12,0,115
392,22,114,10,20400,2480
394,19,31,11,1680,1382
396,39,142,10,324,329
398,58,19,11,32256,35951
399,16,129,10,0,576
400,36,73,10,24,31
401,22,37,10,9200,1200
402,21,208,12,12,12
403,13,44,11,4500,3427
406,45,154,10,288,367
407,58,82,11,10920,12046
408,42,115,10,72,63
409,76,208,10,0,621
410,20,44,12,96,24
411,38,28,10,0,4
412,61,60,12,7182,27
413,61,127,12,5586,488
414,82,75,12,1890,1239
415,47,58,12,2808,1412
417,62,43,10,8190,4282
418,18,134,11,1524,332
419,56,57,12,1440,1061
420,47,141,11,2352,3611
421,33,1,12,216,72
422,23,25,10,36,73
424,13,27,11,2268,1734
425,61,97,12,2016,70
426,42,105,12,108,125
427,59,205,11,0,37
428,36,91,12,48,74
429,33,105,11,2196,2501
431,39,40,12,324,351
432,18,37,10,6804,8275
434,11,88,10,1440,1355
435,27,75,11,0,73
436,82,97,12,0,2403
437,15,125,12,4020,4162
438,27,169,10,216,243
439,23,171,12,108,105
440,17,156,12,21060,0
441,86,7,12,0,114
443,35,163,12,5088,6638
444,58,7,11,14112,12733
446,16,7,12,1476,691
448,13,42,12,1476,755
449,13,187,10,0,274
450,35,16,10,2592,5311
451,11,81,10,72,18
452,22,170,10,11200,0
453,55,62,11,0,72
454,37,32,10,144,119
455,51,121,11,0,174
456,38,5,12,144,101
457,25,64,12,144,220
458,17,213,11,1764,720
459,37,9,12,36,20
460,16,34,12,288,1385
461,23,33,11,36,41
462,39,158,10,324,308
463,50,181,12,33696,26740
465,58,189,12,0,240
466,50,80,11,27360,22876
467,83,13,12,1974,1393
468,61,186,10,3360,3809
470,22,184,11,23200,37690
471,27,173,11,72,123
472,32,62,10,564,577
473,26,214,11,108,110
475,15,16,11,3504,3402
476,62,98,11,1344,1017
477,23,97,11,144,103
478,43,82,12,14832,14108
479,61,80,10,2310,1851
480,19,7,10,2184,2430
481,61,58,12,6510,0
482,18,172,10,2232,2797
483,43,106,11,0,6500
486,15,50,11,396,871
487,76,128,10,0,213
488,81,92,11,96,75
489,45,86,10,288,1381
491,38,181,12,144,163
492,22,102,11,18800,22979
493,27,174,12,72,37
494,31,3,11,800,12100
496,28,100,12,18,2
498,3,106,10,40,0
499,16,152,11,5616,1672
500,80,116,11,0,3
501,15,134,11,6528,5175
503,3,121,11,40,0
505,86,194,12,0,130
506,42,42,10,72,66
507,37,89,10,504,497
508,5,6,10,240,308
509,31,35,12,12800,12460
510,81,123,11,0,216
511,81,60,10,192,345
512,28,102,10,6,0
513,17,46,11,12672,3222
514,39,5,12,216,119
515,27,117,10,108,51
516,14,44,11,19620,18168
517,27,42,10,72,71
519,28,146,10,0,23
520,50,81,10,18768,11634
521,11,90,12,828,831
523,19,115,10,1848,1540
524,62,162,11,1470,1111
527,37,134,12,108,81
528,18,16,10,504,448
529,15,91,11,540,585
530,61,117,11,4494,3385
531,83,19,12,0,7789
533,27,156,10,792,815
534,14,104,11,20520,17685
535,81,182,11,120,106
536,56,154,12,108,97
537,37,68,10,36,28
538,31,125,10,7200,741
539,33,21,12,684,602
540,11,27,10,180,322
542,3,21,11,120,2
543,62,121,12,8652,2578
544,56,121,11,324,80
545,58,171,10,12768,11982
546,38,11,11,252,206
547,22,193,10,2800,1046
548,48,124,10,120,0
549,47,84,10,408,209
550,33,21,11,792,239
551,62,113,12,0,129
552,33,140,10,432,216
553,37,214,12,36,68
554,25,206,12,216,179
555,36,107,10,24,8
556,35,117,11,13152,12575
557,32,152,12,888,816
558,50,141,10,63072,38488
559,3,110,11,40,0
560,23,117,11,72,54
562,5,164,10,80,83
563,18,50,11,24,6
564,14,68,10,11988,16042
565,37,171,10,252,152
566,13,152,10,4068,3387
568,5,11,11,160,131
569,17,42,12,21672,0
570,62,94,12,29820,0
572,62,70,12,7266,0
573,82,29,12,0,2066
574,26,18,10,96,65
575,19,180,12,31080,42899
576,62,19,10,7476,8223
577,84,97,12,0,39
578,35,8,11,8448,8702
579,19,144,12,3192,1948
580,52,166,11,400,0
581,81,166,10,168,79
582,22,181,10,4000,1980
583,62,15,12,0,636
584,17,150,11,6120,1843
585,22,67,11,0,250
586,23,71,12,0,37
588,59,213,10,462,388
590,37,171,12,216,145
591,45,23,12,528,203
593,81,126,10,0,147
594,36,93,12,24,4
595,16,196,12,5688,1708
596,19,217,10,4872,4501
597,16,190,10,0,1668
599,59,180,12,1848,1526
600,47,126,11,1536,1783
601,27,56,12,0,19
602,25,66,12,360,307
603,10,163,10,0,59
604,11,109,12,72,41
605,83,119,12,0,2633
606,54,180,10,48,0
607,74,189,10,0,730
609,43,181,11,0,7957
610,47,132,10,2064,1281
611,35,206,11,10560,10776
612,8,225,12,0,8
613,26,82,11,240,94
614,56,217,12,72,79
615,17,96,11,17712,3497
616,62,208,12,0,286
617,22,141,11,5200,12240
618,61,134,11,3570,1483
619,23,34,11,72,86
620,84,44,12,0,43
622,81,60,11,192,267
623,35,126,11,7776,10356
624,31,158,12,0,120
625,14,169,11,27828,26589
626,84,89,12,0,396
627,80,84,12,216,108
628,37,173,12,144,174
629,14,211,11,54972,47310
632,37,128,12,108,129
633,14,180,11,35136,28298
634,26,204,12,300,149
635,35,62,11,5376,5232
636,31,52,12,0,150
637,38,14,11,144,224
638,39,75,11,0,248
639,17,36,11,36792,14268
641,58,130,11,17808,19272
642,22,42,12,2400,0
643,62,114,10,3444,3779
644,36,174,11,72,39
645,36,140,11,24,13
648,81,211,12,96,0
650,17,215,11,2160,1275
652,18,48,11,19980,3931
653,16,185,11,1584,363
654,18,60,12,3048,0
655,19,173,12,5544,4023
656,39,181,12,252,140
657,58,84,10,9912,11932
658,11,17,12,216,133
660,38,90,10,3132,2295
661,81,21,11,0,173
662,25,125,10,684,412
664,32,70,12,2712,2228
665,81,8,11,120,0
666,16,108,12,936,994
667,61,20,11,0,69
670,54,107,12,12,0
671,11,12,12,180,222
672,38,113,11,216,275
673,59,38,11,924,622
674,76,159,10,0,721
675,36,100,11,0,13
676,19,111,12,1512,914
678,3,110,12,40,0
679,43,136,12,7164,8038
680,38,76,10,288,213
681,80,179,11,0,30
683,82,80,11,0,913
684,27,168,11,144,74
685,43,215,11,0,1589
686,59,194,10,1470,947
687,25,107,12,432,384
688,15,44,10,7692,7966
689,80,29,10,1416,308
690,42,86,10,216,139
691,14,108,11,11448,8931
692,62,148,10,9744,2722
