,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
5288,3,121,12,80,0
5289,67,6,10,0,74
5291,62,219,11,0,3192
5292,36,54,11,24,22
5293,50,25,10,28368,18793
5294,31,154,11,4000,10890
5295,26,189,12,0,46
5296,6,223,11,0,887
5297,3,122,11,80,0
5298,85,35,12,0,111
5299,22,163,10,32000,800
5300,31,144,11,400,270
5303,32,16,12,60,0
5304,80,46,10,672,701
5305,59,17,10,714,511
5306,81,9,10,24,0
5308,36,104,12,24,10
5309,5,141,10,0,11
5310,32,146,12,2088,2009
5311,82,13,11,0,775
5313,57,186,11,0,36
5314,19,156,12,23856,23670
5315,39,88,10,2232,2419
5316,61,89,11,10374,12390
5317,81,138,12,288,988
5318,23,29,10,108,125
5319,36,146,12,24,16
5320,5,86,10,80,18
5322,27,11,11,144,221
5323,17,191,10,13860,16435
5324,25,165,11,288,265
5326,13,127,11,2628,2721
5327,5,56,11,80,83
5328,78,225,12,0,210
5329,23,132,12,108,135
5330,39,182,11,288,207
5333,39,30,12,252,187
5334,40,16,10,0,10
5336,26,143,11,156,119
5337,36,109,12,24,19
5338,59,162,10,168,66
5339,61,125,12,5922,0
5340,2,99,10,0,36
5341,51,112,11,0,658
5344,80,14,11,504,188
5346,18,216,10,792,971
5348,82,150,12,0,1961
5349,43,47,12,0,50774
5351,35,34,12,2304,2882
5352,38,62,11,180,105
5353,62,32,10,3318,2336
5355,62,143,12,12852,378
5356,27,92,12,252,221
5360,27,155,11,0,11
5361,25,46,10,288,258
5362,42,33,10,144,81
5363,19,42,10,44352,46809
5364,23,82,11,180,153
5366,59,45,10,1680,817
5367,16,90,12,4716,1080
5368,10,107,12,0,10
5369,17,80,10,12852,12349
5370,10,105,11,0,59
5371,70,16,11,0,12
5372,19,38,10,15288,16427
5373,47,62,10,2760,2516
5375,22,79,11,12800,25652
5376,38,75,11,0,208
5377,29,189,10,0,3
5378,85,74,12,0,63
5379,80,131,10,960,795
5380,33,172,11,2664,1440
5382,50,50,12,29616,32285
5383,19,92,11,52584,51572
5384,58,13,12,8904,8391
5385,81,70,11,192,157
5386,67,52,11,0,4
5388,83,1,11,0,4272
5389,33,176,12,720,219
5390,56,171,11,828,267
5391,82,195,12,0,3809
5393,14,98,10,13104,16197
5394,5,198,10,80,20
5395,18,130,11,3204,1127
5396,22,37,11,8400,0
5397,54,138,10,12,0
5399,45,25,11,288,433
5401,33,143,12,2664,3024
5402,58,119,10,25032,25057
5404,19,107,12,1680,888
5405,86,198,12,0,22
5406,3,178,12,40,0
5407,21,1,11,0,1
5408,31,46,12,4400,11900
5409,18,162,11,360,170
5410,62,131,10,3108,2588
5411,59,32,10,462,157
5412,39,139,11,288,394
5414,38,73,12,216,218
5417,27,188,10,0,56
5418,47,100,12,1848,2183
5419,19,35,12,28896,30125
5420,36,176,12,48,37
5421,35,46,10,9408,13896
5422,18,76,10,2460,2818
5424,61,114,10,4746,4680
5425,74,210,10,0,378
5426,63,27,10,0,18
5427,33,187,12,0,504
5428,5,182,12,160,200
5429,3,122,10,80,0
5432,47,113,12,1440,1555
5433,11,197,12,2916,2780
5434,16,62,11,3024,1149
5436,14,24,11,0,860
5437,37,38,12,108,90
5438,74,87,10,0,180
5439,13,31,11,2376,2249
5441,82,156,12,0,14073
5442,23,111,10,108,87
5444,37,198,12,36,3
5445,38,102,12,36,86
5447,37,74,11,0,141
5448,18,129,12,696,0
5451,31,130,12,400,665
5452,15,148,11,1920,2041
5454,43,48,11,0,38304
5455,86,103,12,0,88
5456,36,76,10,72,46
5457,32,113,10,696,571
5458,11,64,12,180,167
5459,32,129,11,132,180
5460,18,41,10,2484,2535
5461,37,7,11,108,105
5462,56,38,11,108,99
5464,35,33,12,3168,6066
5465,59,39,12,882,568
5466,62,174,11,6342,1303
5467,50,24,12,0,1798
5468,39,107,10,252,226
5469,48,52,10,0,38
5470,10,181,12,0,141
5471,47,2,10,1344,893
5473,82,62,12,0,6569
5474,62,213,11,3150,1779
5475,61,60,11,7014,2685
5477,62,88,11,12222,3808
5478,11,124,10,288,231
5481,59,165,11,840,1774
5482,11,20,11,0,13
5483,54,74,12,12,0
5484,26,29,11,24,0
5486,26,90,11,36,9
5487,13,133,11,0,442
5488,45,96,12,1440,1041
5490,14,28,11,0,325
5492,18,142,11,996,430
5493,39,213,11,144,137
5494,21,102,10,1464,2160
5495,5,80,11,160,201
5496,39,49,10,900,966
5499,23,25,11,36,61
5500,16,163,11,5652,12662
5501,80,106,10,864,584
5502,33,187,10,0,648
5503,45,88,12,1056,1221
5504,37,140,11,144,122
5508,37,195,12,36,36
5509,59,112,11,126,335
5510,47,45,12,2184,1589
5511,26,96,10,72,49
5512,27,6,10,216,290
5513,38,154,12,252,199
5514,59,180,11,1764,1648
5515,80,51,10,1536,1733
5516,11,112,11,72,38
5517,17,190,11,32580,4435
5518,47,25,12,1896,1183
5519,39,124,11,756,464
5520,15,1,10,16260,14578
5521,18,43,11,6240,1645
5522,13,119,12,1656,1452
5523,38,112,12,144,125
5525,81,164,12,168,381
5526,50,159,11,47040,52560
5527,20,104,10,48,72
5528,37,152,10,216,181
5529,22,3,11,29200,43300
5530,31,35,11,6000,15560
5531,47,94,12,4344,2730
5532,3,86,11,40,0
5534,33,38,11,972,0
5535,51,181,11,0,1434
5536,43,217,12,0,10175
5537,37,131,10,108,107
5538,62,163,11,2688,2077
5540,15,149,11,0,60
5541,33,109,11,1548,502
5542,57,172,12,0,72
5543,13,115,12,864,804
5545,25,184,10,252,270
5546,80,81,10,624,654
5547,61,168,11,3738,2075
5548,13,70,12,3996,2675
5549,31,131,12,400,0
5550,26,115,10,96,122
5551,37,153,12,0,16
5552,15,146,12,1824,1762
5553,36,88,10,48,87
5554,31,198,11,2000,10280
5555,36,87,10,72,62
5557,74,198,10,0,144
5558,39,198,10,216,234
5561,47,26,12,0,161
5563,33,142,10,1872,2484
5564,25,38,12,288,249
5565,35,152,12,8064,6925
5568,10,60,12,0,56
5569,27,44,12,180,144
5570,13,11,10,2016,2433
5571,58,163,12,28056,31398
5574,31,91,10,3600,11
5575,17,47,10,63504,69248
5576,20,138,12,72,72
5577,62,9,11,4620,1639
5580,15,106,10,4200,4385
5581,23,62,12,108,40
5583,10,101,11,0,14
5584,45,81,11,288,510
5585,19,13,10,1344,1384
5586,45,109,12,144,284
5587,82,122,11,0,1448
5589,59,136,10,1302,1054
5590,14,152,10,20556,25792
5591,61,148,12,3864,478
5592,80,11,11,360,189
5593,13,174,10,5256,6346
5596,15,150,11,1860,1441
5597,13,138,10,9252,10150
5598,5,76,10,160,90
5600,56,60,12,216,115
5601,39,135,11,0,8
5602,15,54,10,2496,2272
5603,18,2,11,1092,309
5606,5,138,12,400,397
5607,51,13,11,0,114
5608,45,32,11,192,784
5609,50,117,10,32496,24555
5610,51,66,12,0,2249
5611,42,160,11,72,53
5613,18,30,10,792,477
5614,27,132,12,288,151
5615,47,81,11,432,493
5616,81,214,12,264,233
5619,21,19,10,756,867
5621,11,169,11,108,190
5622,50,202,12,0,1472
5624,58,38,10,5208,6755
5625,11,197,10,2988,3078
5627,85,46,12,0,24
5628,23,39,12,108,93
5629,61,108,11,1932,1229
5630,39,180,12,360,227
5631,38,91,12,1728,1178
5632,50,170,10,40704,29365
5633,20,48,10,120,147
5634,37,215,10,108,67
5636,31,186,12,400,0
5637,80,33,12,480,195
5638,9,99,11,0,40
5639,56,143,12,36,81
5642,23,8,11,72,88
5643,58,107,12,7560,7854
5645,38,35,12,360,247
5646,58,91,11,168,0
5647,25,81,12,324,211
5648,82,119,12,0,3072
5650,14,85,12,12204,12512
5652,82,87,12,0,8341
5654,45,33,12,96,358
5655,56,52,11,504,351
5656,10,162,10,0,4
5657,16,128,10,0,452
5659,35,54,10,5184,5900
5660,39,32,12,288,198
5661,85,9,12,0,10
5662,16,186,11,1440,507
5663,26,111,10,48,24
5664,16,1,10,0,5956
5665,59,215,11,252,378
5666,27,159,12,72,24
5669,3,101,10,40,0
5670,19,43,11,52752,59572
5671,15,208,12,6084,5926
5672,69,108,10,0,21
5673,74,192,10,0,2304
5674,36,37,11,72,30
5676,9,23,11,0,40
5677,76,15,10,0,361
5678,18,15,11,612,109
5680,50,123,10,80160,70265
5681,15,184,11,6804,6267
5683,32,30,10,12,0
5685,59,142,10,504,309
5687,15,43,12,6516,8422
5688,42,173,12,180,210
5689,47,221,12,0,432
5690,27,176,11,72,139
5691,80,7,11,672,459
5692,25,104,10,288,329
5694,54,106,12,24,0
5695,39,17,10,396,461
5696,26,97,11,12,0
5697,50,197,10,50016,39859
5698,61,43,11,6048,2553
5699,45,112,12,144,288
5700,13,40,10,1152,1384
5701,58,84,12,9240,8844
5702,56,82,11,324,1
5703,25,36,11,648,569
5704,13,68,12,1188,1230
5706,19,211,11,4032,4800
5707,27,45,11,36,34
5708,25,99,11,360,287
5709,10,140,11,0,81
5711,25,58,10,864,979
5712,76,91,10,0,80
5713,81,79,11,120,33
5716,50,195,10,26640,15979
5718,14,126,10,30564,33710
5719,81,102,12,120,110
5720,27,43,11,324,394
5721,11,119,10,396,422
5722,27,24,11,0,2
5723,25,159,12,540,610
5724,61,225,11,0,612
5727,45,35,11,1632,1467
5728,11,191,11,144,169
5730,31,132,10,400,20
5731,37,107,10,108,96
5732,42,170,12,108,130
5733,51,53,11,0,575
5734,43,171,11,0,8079
5735,50,103,10,47280,43835
5736,35,98,12,1248,861
5737,35,39,11,480,606
5740,51,64,11,0,911
5741,62,172,11,4956,1455
5742,42,12,11,216,196
5743,33,19,11,396,301
5744,58,185,10,21504,21448
5746,59,211,11,1344,1286
5747,81,43,12,144,144
5748,5,178,11,160,146
5749,3,125,12,40,0
5750,76,75,10,0,183
5751,12,25,10,12,0
5752,50,108,10,30096,17849
5755,81,46,10,192,118
5756,62,184,11,5334,2872
5757,22,160,12,1200,2362
5758,32,217,10,636,542
5759,15,131,10,4572,5795
5760,35,3,12,14688,13734
5761,59,135,11,0,38
5762,31,50,10,400,80
5763,33,6,11,8028,5307
5764,25,208,10,432,502
5765,61,149,11,0,21
5766,56,123,12,360,79
5767,35,30,12,2112,2262
5768,59,90,10,5586,7723
5769,4,58,11,0,3
5770,42,66,10,36,48
5771,5,133,12,0,6
5772,62,193,12,2520,213
5773,81,187,11,0,24
5774,25,37,11,1728,1702
5775,26,184,11,168,53
5776,38,59,11,0,3
5777,59,87,10,5418,4195
5778,50,18,10,30576,16081
5780,54,80,10,12,0
5782,38,214,12,72,77
5783,51,139,12,6996,7825
5784,62,5,11,2310,1244
5785,31,158,10,0,220
5786,10,19,12,0,360
5787,37,112,12,108,74
5788,32,34,12,84,74
5791,31,100,11,1600,3431
5792,22,103,10,10400,1580
5794,22,108,12,15200,16920
5795,13,169,12,12456,10035
5796,56,131,10,144,52
5797,42,15,10,144,185
5798,59,210,12,504,182
5800,50,189,10,0,215
5801,4,9,11,40,7
5802,50,203,12,0,20753
5803,82,2,12,0,2152
5804,21,209,12,0,5
5805,62,103,11,6006,3379
5806,62,172,10,3528,2167
5807,16,47,10,0,12204
5808,38,101,10,36,74
5810,10,196,11,0,24
5812,80,2,11,480,479
5813,61,50,10,14952,8824
5815,22,178,10,38000,5650
5816,5,54,10,160,244
5818,62,97,11,1512,1082
5820,20,28,12,0,36
5821,42,129,11,216,180
5822,56,7,10,432,180
5824,3,141,11,40,0
5825,75,138,12,0,24
5826,4,99,10,40,0
5827,31,86,12,12000,19586
5828,22,68,10,7200,660
5829,81,143,10,192,108
5830,5,94,12,80,13
5831,83,41,12,0,5256
5833,50,63,11,0,2988
5834,37,123,11,324,388
5835,15,24,11,0,225
5837,26,47,10,1320,1157
5838,19,174,10,672,216
5839,28,81,12,0,3
5840,11,87,11,900,877
5841,42,34,12,72,68
5842,26,74,11,0,80
5844,19,102,11,12600,16386
5845,14,122,12,16308,12897
5846,51,19,12,0,1893
5847,31,68,11,400,40
5849,35,109,12,9600,10779
5850,45,11,11,144,147
5851,36,2,11,24,25
5852,22,25,10,32000,3120
5853,67,101,12,0,1
5854,42,178,12,144,109
5855,5,163,12,160,123
5856,83,38,11,0,1101
5857,15,161,12,2184,1962
5858,15,49,11,5028,4875
5859,61,123,11,15036,9189
5862,51,21,11,0,504
5864,57,19,12,0,38
5866,62,36,12,5670,705
5868,3,115,10,40,0
5869,43,160,12,0,4928
5871,31,33,12,1600,1160
5872,25,64,11,216,298
5873,36,52,11,24,29
5875,47,192,12,1032,1521
5877,27,16,10,36,78
5878,33,43,10,1548,1188
5879,23,34,10,108,123
5880,27,15,12,72,47
5881,61,193,10,5796,3344
5882,15,215,11,1536,1583
5884,62,11,11,3234,1297
5885,38,217,11,216,209
5886,83,140,11,0,1083
5887,86,54,12,0,53
5888,28,122,10,0,25
5889,39,150,12,288,153
5890,23,158,10,180,157
5891,16,164,11,5652,15781
5892,42,52,10,36,60
5895,39,11,11,360,401
5896,14,45,11,8640,11558
5897,42,81,12,72,53
5898,17,196,10,22536,24530
5899,32,93,11,192,228
5900,15,41,10,384,218
5901,27,33,11,36,35
5902,45,29,11,48,0
5903,45,125,10,384,96
5904,9,21,10,0,6
5906,35,97,12,1344,1152
5908,58,52,12,3864,5100
5909,51,38,12,0,1222
5910,81,176,12,168,72
5913,32,170,12,72,0
5914,83,27,12,0,2394
5915,33,214,12,900,317
5916,16,80,11,2376,2254
5917,23,86,11,108,121
5918,47,130,12,1584,1530
5919,17,44,11,15912,2739
5920,56,73,10,252,313
5921,69,127,11,0,7
5923,19,56,12,1008,897
5924,23,79,10,108,157
5926,14,42,12,2160,2322
5927,26,109,12,264,221
5929,5,9,10,480,629
5930,19,1,11,14280,13539
5931,62,203,12,0,32676
5932,14,90,10,7920,13194
5934,22,209,10,7600,2040
5935,10,101,10,0,21
5936,5,210,10,240,237
5938,45,135,11,0,27
5940,56,74,12,468,78
5942,13,61,11,0,69
5943,39,210,10,288,278
5944,61,29,10,2352,1186
5945,59,39,11,714,381
5946,47,132,12,1728,1639
5947,61,92,12,5838,0
5949,8,131,10,0,12
5952,61,3,12,16254,0
5953,36,6,10,24,17
5955,42,211,11,360,374
5956,86,36,12,0,20
5957,50,210,12,38256,22328
5958,26,42,11,12,0
5960,43,27,11,0,9261
5961,62,31,10,1260,1586
5962,59,23,11,882,470
5963,76,23,10,0,643
5964,26,27,12,144,85
5965,15,85,10,1872,1723
5966,33,53,11,5400,3462
5968,28,180,10,0,6
5969,16,146,12,396,285
5970,52,186,10,0,6
5971,5,42,12,80,6
5973,33,193,10,5436,3170
5974,59,189,10,0,84
5975,50,29,12,12912,13484
5976,38,104,11,144,111
5977,85,85,12,0,252
5978,45,122,12,5568,1341
5979,10,120,12,0,1
5980,76,86,11,0,9
5982,17,6,10,15084,16132
5983,23,216,11,72,88
5984,58,211,11,35448,35730
5985,42,148,11,144,109
5986,31,105,10,400,0
5987,37,104,10,72,117
5988,26,138,10,528,325
5990,13,216,10,1980,2490
5991,51,50,12,0,26
5992,58,215,10,5040,3397
5993,16,130,11,2592,1959
5994,17,84,10,10584,10925
5995,22,109,10,35600,17920
5996,51,130,11,0,1950
5997,11,217,10,108,83
5998,82,187,12,0,157
5999,75,221,12,0,240
6000,81,154,11,0,43
6001,17,64,11,8064,1292
6003,50,162,11,16512,15534
6004,20,7,11,48,2
6007,11,90,11,756,811
6008,59,160,10,840,367
6009,37,162,10,72,83
6010,23,192,12,72,81
6011,45,9,11,528,510
6012,80,37,12,552,328
6013,81,4,12,96,62
6014,51,61,11,0,20
6015,50,204,12,81552,70689
6016,37,166,12,180,87
6017,80,197,11,288,436
6019,31,66,10,400,119
6022,61,107,10,1218,1119
6025,59,103,11,420,433
6026,17,91,11,48744,11330
6028,59,122,10,714,306
6030,62,115,12,5796,562
6031,39,58,10,252,254
6033,15,88,10,1860,1944
6034,82,118,12,0,124
6037,39,106,11,288,144
6038,31,182,12,2800,3760
6039,38,101,12,36,55
6040,54,166,11,12,12
6041,31,93,11,6000,23420
6042,83,165,11,0,3139
6043,13,174,12,4356,3459
6044,37,60,12,108,59
6045,26,165,12,84,144
6047,80,38,11,384,147
6048,56,206,12,108,58
6049,23,6,11,108,124
6050,80,144,11,120,120
6051,61,86,10,2772,14866
6052,23,36,10,72,29
6053,39,108,10,216,226
6054,31,48,12,31600,50380
6056,42,58,10,36,71
6057,80,93,11,504,600
6058,45,66,10,912,172
6059,18,79,10,2412,2020
6060,18,180,10,6312,6664
6061,56,92,10,36,7
6062,36,18,12,24,5
6063,56,152,12,216,115
6064,60,202,12,0,238
6067,17,156,11,23004,5497
6068,1,188,10,0,1
6069,47,90,12,1368,1241
6070,61,48,12,7140,0
6071,43,154,11,0,9318
6072,5,89,11,80,80
6073,23,68,10,36,43
6075,80,102,12,792,212
6077,32,122,10,2412,2316
6078,37,102,11,36,37
6079,51,145,11,0,30
6081,58,79,12,11424,7614
6083,28,9,11,12,12
6084,81,41,10,192,422
6085,43,50,12,0,113
6086,80,180,12,1128,878
6087,25,25,11,360,403
6090,56,25,12,72,80
6091,67,107,10,0,16
6092,33,210,10,3060,3740
6093,21,19,11,504,352
6094,62,158,10,1764,1401
6095,81,198,11,120,282
6096,31,180,10,7600,430
6097,35,208,11,9024,9559
6098,57,201,12,0,792
6099,59,1,10,3318,1424
6100,59,47,11,3948,3642
6102,3,80,11,80,0
6103,18,126,10,1272,1100
6104,31,47,10,33600,24810
6105,10,99,11,0,110
6108,10,190,10,0,222
6109,16,128,11,0,696
6110,11,66,11,324,269
6111,51,111,11,0,204
6112,80,194,11,240,314
6113,5,31,11,160,203
6114,26,90,12,12,3
6117,16,45,11,1584,763
6118,81,166,11,144,46
6119,62,190,10,8064,5350
6120,38,175,11,0,3
6121,61,104,11,4788,2069
6124,62,113,11,3066,821
6125,22,28,12,0,4580
6127,50,220,11,0,6144
6128,35,213,12,4032,2997
6129,11,101,11,72,93
6130,39,44,12,252,172
6131,23,54,11,36,32
6132,47,206,11,696,820
6134,39,195,12,432,419
6135,5,118,12,0,25
6137,36,173,12,48,24
6138,4,186,11,40,0
6139,45,49,12,2832,586
6141,13,19,11,3816,3625
6143,11,84,11,36,20
6144,23,114,11,108,81
6145,3,86,10,40,0
6146,74,184,10,0,1104
6147,3,99,12,120,0
6148,35,26,12,0,1428
6150,74,58,10,0,494
6152,18,5,10,1740,1776
6153,10,12,11,0,37
6154,3,192,10,80,0
6156,80,129,10,1200,807
6158,35,93,10,192,246
6159,42,96,12,324,219
6161,10,169,10,0,28
6162,86,180,12,0,93
6163,45,154,11,240,205
6165,19,102,12,12264,15721
6166,18,95,11,1968,927
6167,19,62,10,16464,16797
6168,62,188,12,0,159
6169,22,49,11,14000,14160
6170,31,57,10,800,532
6171,25,48,11,1080,758
6172,45,73,11,0,895
6173,10,143,12,0,78
6174,38,52,11,108,114
6175,56,27,10,504,373
6176,23,122,10,72,55
6177,35,121,12,9024,7662
6178,33,100,10,756,690
6179,10,104,10,0,102
6180,14,210,10,26784,25622
6182,14,26,11,0,968
6183,36,134,12,24,13
6184,47,123,12,2832,2442
6185,33,108,11,432,396
6186,56,3,10,1116,1092
6188,31,190,10,3200,3801
6189,80,99,11,696,254
6190,32,158,11,816,657
6191,15,71,11,0,35
6192,82,135,11,0,327
6193,27,62,11,396,565
6195,59,161,10,462,298
6196,61,147,11,0,103
6197,17,160,10,5184,5543
6198,47,33,11,1368,788
6199,47,148,11,1008,1010
6200,28,105,10,12,11
6201,3,186,10,80,0
6203,15,85,12,1464,1628
6205,2,127,10,0,28
6206,47,36,11,1440,1290
6207,81,98,10,192,0
6209,27,162,11,36,61
6210,58,86,11,2856,3300
6211,59,19,11,2604,1860
6212,35,1,12,14400,11299
6213,26,187,12,0,1536
6214,25,128,11,756,729
6215,18,194,10,14508,15107
6218,32,112,10,672,733
6219,81,194,11,312,172
6220,62,79,11,2436,1211
6221,54,9,11,12,12
6222,35,79,11,6720,10371
6224,33,5,12,324,144
6225,33,101,12,432,87
6227,83,12,11,0,1488
6229,58,110,11,4536,3918
6231,83,53,11,0,1351
6232,81,116,11,0,6
6233,33,1,11,180,288
6234,22,166,11,7200,19013
6235,11,86,12,72,54
6236,25,23,12,396,378
6237,56,33,10,504,116
6238,38,54,10,144,131
6239,81,51,12,1272,2063
6240,82,187,11,0,210
6241,6,201,11,0,811
6242,13,38,12,2484,2013
6243,58,94,11,4368,2892
6245,38,112,10,180,90
6246,13,213,12,1260,1119
6248,61,206,10,4998,3864
6249,36,142,12,24,8
6250,3,140,10,80,0
6251,80,37,11,384,487
6253,23,197,12,72,60
6257,22,123,12,12000,18926
6258,32,144,11,972,1177
6259,3,163,10,40,8
6260,18,192,11,1932,805
6261,5,181,10,320,361
6262,15,129,12,2652,2767
6263,54,134,12,12,0
6265,13,143,10,2772,2943
6266,22,27,11,20800,30040
6267,39,9,10,324,380
6268,19,196,10,18816,10746
6269,32,58,12,540,550
6270,32,86,11,36,48
6272,58,99,10,16464,20956
6273,27,108,12,72,40
6274,62,80,11,2646,1632
6275,82,12,12,4284,1630
6276,15,180,11,9516,6907
6277,33,184,10,1188,462
6278,38,27,12,180,208
6279,82,75,11,0,1068
6280,33,8,11,3276,3413
6281,31,196,11,6400,22903
6282,17,87,10,85860,101785
6283,17,16,11,4032,1531
6284,58,60,11,31584,32610
6285,33,143,10,3276,2340
6286,19,162,10,840,801
6287,35,81,12,3552,4382
6288,39,118,11,0,1
6289,31,54,12,1200,1843
6290,39,68,10,108,106
6291,80,172,11,672,770
6292,26,53,12,72,87
6293,51,121,12,0,831
6295,35,138,12,19008,21288
6297,62,190,12,6048,1393
6298,39,33,11,360,92
6300,59,133,11,0,58
6301,17,84,12,8388,0
6302,78,219,12,0,434
6304,21,125,11,24,0
6305,25,21,10,216,344
6306,16,145,11,0,15
6307,50,175,11,0,1503
6308,59,191,11,378,935
6309,16,40,11,6660,4071
6310,38,148,11,216,284
6311,32,162,10,204,135
6312,15,188,12,0,5819
6313,25,144,10,432,399
6314,86,94,12,0,210
6315,48,33,10,0,32
6316,19,115,11,1680,1431
6317,13,91,10,72,0
6318,42,95,12,180,99
6319,20,187,11,0,240
6320,80,17,12,648,284
6321,58,103,12,26880,31692
6322,26,54,12,156,253
6323,5,162,12,160,104
6324,39,134,10,252,222
6326,47,178,11,984,893
6327,15,115,11,2640,2588
6328,38,211,11,396,333
6330,16,169,10,0,4139
6331,26,148,12,252,135
6332,50,164,10,44304,36073
6333,3,148,12,120,0
6335,17,198,10,16848,17985
6336,61,183,12,0,255
6337,27,80,10,72,75
6339,25,5,11,180,247
6340,47,222,11,0,600
6341,14,110,11,16740,12767
6344,82,194,11,0,4533
6346,25,70,11,504,567
6347,33,117,12,2520,1801
6349,14,29,11,15372,17561
6350,10,11,12,0,3
6352,11,160,10,36,23
6353,59,106,10,336,207
6354,57,138,12,0,72
6355,20,92,11,24,0
6356,26,40,11,24,11
6357,86,215,12,0,12
6358,81,54,11,0,1
6359,54,17,11,12,0
6361,37,132,11,108,156
6362,13,198,11,72,16
6363,50,158,11,28560,31948
6365,22,41,11,6000,0
6366,4,115,11,0,1
6367,23,183,12,36,70
6370,61,189,10,0,168
6371,19,210,10,504,252
6372,56,33,12,540,88
6373,39,80,10,288,179
6374,17,35,11,31752,10161
6375,37,25,10,108,137
6376,28,182,11,6,0
6377,28,188,10,0,7
6378,25,87,12,2268,2504
6379,16,173,10,0,1527
6380,3,1,12,40,0
6381,56,140,12,540,343
6382,37,100,11,72,75
6383,58,8,12,13104,13225
6384,15,12,10,3708,4053
6385,83,117,11,0,1244
6386,5,209,10,160,124
6387,26,49,10,1092,817
6389,45,83,11,1776,441
6391,27,37,10,360,384
6392,56,182,10,180,65
6394,36,156,10,48,49
6395,37,108,10,72,97
6396,76,150,10,0,131
6398,62,223,11,0,3090
6399,59,154,10,1008,561
6400,80,152,12,168,168
6403,81,172,12,96,0
6404,81,3,12,720,96
6405,18,64,12,1188,0
6406,50,168,11,40896,44976
6407,37,209,10,108,81
6408,50,30,11,28944,30880
6410,27,113,12,108,66
6412,33,14,11,180,0
6413,20,146,12,48,6
6414,16,135,11,0,54
6415,15,94,11,672,539
6416,16,110,12,1116,1135
6417,26,45,11,264,254
6420,37,181,12,72,78
6421,74,92,10,0,1872
6422,19,20,11,0,234
6423,25,206,11,216,213
6424,19,160,11,168,168
6426,17,5,11,4896,1197
6427,45,179,11,0,2
6429,39,68,11,108,94
6430,14,40,12,3564,2388
6431,16,115,11,648,219
6432,45,197,10,1872,2037
6433,22,1,11,14400,19920
6435,11,183,12,108,106
6436,76,97,10,0,106
6437,42,210,11,108,171
6439,55,83,10,0,36
6440,11,93,10,36,26
6441,52,184,11,400,0
6442,5,143,10,480,256
6443,26,51,12,1824,1305
6444,3,111,11,40,0
6445,81,70,12,192,75
6446,19,90,11,31080,50547
6447,50,145,11,0,626
6448,25,123,10,324,322
6449,19,21,12,12600,10173
6450,59,166,10,1050,2654
6451,16,139,11,2880,1711
6452,19,60,11,28560,27654
6453,74,52,10,0,2
6454,18,21,10,1728,2065
6455,61,155,11,0,183
6458,33,117,11,2268,1269
6459,26,57,12,84,75
6460,31,101,12,400,41
6461,62,122,12,4578,365
6462,16,51,10,0,113
6463,33,173,12,612,0
6464,56,122,12,288,140
6467,33,16,11,108,36
6468,13,85,11,1008,504
6471,83,66,12,0,2948
6473,55,3,12,0,36
6474,10,218,12,0,376
6475,61,14,12,0,202
6478,61,18,11,2100,1434
6479,59,81,10,294,442
6480,47,113,11,960,1333
6483,45,201,12,0,144
6484,81,20,11,0,40
6485,86,23,12,0,380
6489,11,70,12,576,361
6491,28,8,11,12,7
6492,84,36,12,0,82
6493,17,132,11,10620,2376
6494,10,165,10,0,8
6496,15,92,11,1620,3773
6497,50,173,12,36960,22427
6498,59,165,10,924,853
6499,43,51,12,0,639
6501,39,42,12,324,249
6503,42,85,11,396,471
6504,11,57,11,72,98
6505,27,113,11,108,161
6506,31,16,11,0,260
6508,38,100,10,108,170
6509,39,124,10,864,879
6510,16,47,12,13608,14435
6511,11,3,11,108,82
6512,25,152,11,504,413
6515,19,196,11,16128,17137
6516,4,7,12,0,4
6517,25,121,11,252,259
6518,36,47,12,24,49
6519,83,62,12,0,5943
6520,58,17,12,23352,21802
6522,74,194,11,0,246
6523,14,185,11,22680,21050
6525,80,196,12,648,294
6527,17,129,12,5868,0
6528,80,43,11,504,445
6531,54,10,12,60,0
6532,21,124,12,12,0
6533,81,131,10,288,295
6535,38,25,12,180,140
6536,33,152,11,2772,1944
6537,14,141,11,252,783
6538,85,103,12,0,36
6539,36,208,10,24,28
6540,81,107,12,120,207
6541,18,208,10,1188,1625
6542,68,53,10,0,40
6543,31,104,12,400,0
6544,35,41,11,96,36
6545,39,64,12,144,133
6546,81,166,12,168,115
6548,19,156,10,20496,19176
6549,22,206,10,9600,1140
6550,58,8,10,15288,21398
6551,31,117,10,0,570
6552,26,121,11,60,39
6554,61,110,11,4410,1642
6555,82,94,11,0,3822
6556,13,53,10,216,128
6558,50,5,12,25440,21548
6559,13,89,12,4104,2381
6560,18,134,10,1824,1672
6562,1,224,11,0,16
6563,23,131,12,72,99
6564,13,183,11,6300,4939
6565,26,198,10,144,38
6566,3,85,12,40,0
6568,23,66,11,36,27
6569,59,96,10,1512,1464
6570,82,204,12,10122,8332
6571,38,41,12,288,153
6574,17,114,10,10548,10338
6575,45,41,11,816,1479
6576,5,57,11,240,213
6577,22,66,11,16000,27000
6578,27,88,12,468,403
6579,61,168,12,0,274
6580,13,68,11,1548,1668
6581,27,143,11,144,240
6582,5,163,10,160,158
6583,10,224,11,0,385
6584,11,136,12,108,98
6585,52,112,11,400,0
6586,57,54,11,0,6
6587,5,159,12,320,320
6588,81,1,12,0,148
6589,33,64,12,468,625
